,category,keyword
0,jewish,jew
1,jewish,jews
2,jewish,jewish
3,jewish,judaism
4,jewish,david
5,jewish,jewed
6,jewish,israeli
7,jewish,israelis
8,jewish,rabbi
9,middle_east,israel
10,middle_east,zionist
11,middle_east,zionists
12,middle_east,zionisti
13,middle_east,palestinian
14,middle_east,palestinians
15,middle_east,nationalist
16,middle_east,hamas
17,middle_east,idf
18,middle_east,gaza
19,middle_east,mossad
20,slurs,kike
21,slurs,kikes
22,slurs,shylock
23,slurs,zog
24,slurs,yid
25,slurs,zhyd
26,slurs,shyster
27,slurs,smouch
28,slurs,scapegoat
29,slurs,grug
30,slurs,schlomo
31,slurs,jizzrael
32,slurs,jewsrael
33,slurs,jewmerica
34,slurs,israhell
35,slurs,jidf
36,slurs,globohomo
37,slurs,kikelover
38,slurs,hooknose
39,slurs,cryptojew
40,slurs,jewtube
41,racist,nigger
42,racist,niggers
43,racist,racist
44,racist,migrants
45,synonyms,bankers
46,synonyms,ngos
47,synonyms,interests
48,synonyms,globalist
49,synonyms,greed
50,synonyms,illuminati
51,synonyms,nwo
52,synonyms,academics
53,synonyms,lobbyists
54,synonyms,goldstein
55,synonyms,shekelberg
56,synonyms,sheklestien
57,synonyms,rothschild
58,uncategorized,hitler
59,uncategorized,holocaust
60,uncategorized,whites
61,uncategorized,sand
62,uncategorized,nazi
63,uncategorized,antisemitic
64,uncategorized,clannish
65,uncategorized,control
66,uncategorized,cowardice
67,uncategorized,creatures
68,uncategorized,(((echo)))
69,uncategorized,silencing
70,uncategorized,media
71,uncategorized,holohoax
72,uncategorized,(((media)))
73,uncategorized,(((their)))
74,uncategorized,(((journalist)))
75,uncategorized,(((lawyers)))
76,uncategorized,(((democracy)))
77,uncategorized,jewry
78,uncategorized,talmudvision
79,uncategorized,hollywoodcuckmuzzlei
80,uncategorized,yidtheatre
81,uncategorized,nuremberg
82,uncategorized,sidelock
83,uncategorized,shekel
84,uncategorized,shekels
