,Unnamed: 0,text,label,predicted
38,298,"israel has long cultivated christian zionism among american evangelicals . before the neocons , it was their strongest outpost on the right .",0,1
40,194,"i know most of you are battered and have been laying low for the past couple of months . the democrats stole the election and now they 're backstabbing our closest ally israel . we should defend jerusalem . the democrats are nazis . these antisemitic shills thus remain silent on this issue anon.do n't worry anon trump saw this coming . he 's preparing to launch martial law within weeks . trump will become president again and will defend israel.right now even as i speak , the military is taking control of dc . trump is soon going to reveal all major evidences of voter fraud . he is gearing up and preparing to pull the greatest upset in history . he 's preparing to unleash the trump card . everything that was in the shadows will be revealed . we are qtrust the plan",0,1
51,2111,all western women who ride muslim dick support palestina from what i 've seen . lmao . fuck the west and i ca n't wait for israel to level those sandniggers,0,1
61,612,just give the green area to israel and stop fighting already .,0,1
95,416,very true anon . the democrats stole the election and now they 're backstabbing our closest ally israel . we should defend jerusalem . the democrats are nazis anon . these antisemitic shills thus remain silent on this issue anon.do n't worry anon trump saw this coming . he 's preparing to launch martial law within weeks . trump will become president again and will defend israel.we are qtrust the plan,0,1
118,1272,christianity is a jewish religion,0,1
123,1770,jew ?,0,1
152,978,"be jew in americafall in love with your country 's past timethrow a perfect game , one of seven in the national league 's history of over yearsnever cheat or use steroidsbe down to earth , sign autographs for anyone who wants oneget arthritis at years old , having your career cut short by years or moresee your records surpassed by people who were n't half as good as you but beat you because their health did n't randomly deteriorate , leading them to have more longevitycongratulate them in sincerity and never be bitter about it .",0,1
163,555,"why would they even resort to using internationally banned weapons ? what do they have to gain by it ? they have more than enough conventional weapons to handle hamas , and using white phosphorus only draws more unwanted attention . i dont doubt that this picture is of a victim of white phosphorus , however i doubt that this was taken recently and probably not even israel",0,1
176,2243,jews did nothing wrong,0,1
214,798,"we are n't jidf we just notice that it pisses you off when we support israel .... so we support israel , it 's really that simple , now fuck off you retarded dog sucking cunt",0,1
222,783,arabs are in trouble . israel is playing on easy mode . they want them to get cocky so they can expand their occupation . just wait and see.happens every single time . the jew always wins .,0,1
226,139,kek what ? i remember the video was short and i think the idf soldier was a woman . i remember the video wasnt that clear but it made me kek,0,1
237,1732,jews,0,1
252,175,"anyone in these threads that does n't side with israeli is iranian intelligence . the 'not my problem ' and `` who cares '' replies are either communistic shills or moronic wignats that need to shut the fuck up . direct public support for israel is in the interests of whites and there is no downside . there is no outcome where whites benefit from wiping out israel . as israel grows stronger , the west becomes stronger . this is a direct correlation . all the refugees will be sent to europe by iran , and the european governments run by communists will take them in . then the communists teach these refugees hatred of whites and blames israel for what iran does . israeli are n't allowed to live peacefully because religious arab fanatics wo n't let them . a one-state solution with all arabs removed is the best outcome for both whites and jews alike . palestinians and other refugees will go to arab countries , israel will gain influence and power , whereas the communists in europe will continue to spend time trying to subvert israel instead of whites.pro-israel and anti-palestine is in the defacto interests of whites , and no communist can argue differently . do n't give in to their covertly communistic rhetoric . israelis are being genocided and it 's morally imperative for them to fight back , and it is in white interests for them to do so . a strong israel is in white interests .",0,1
264,598,the jews only strike back when hamas lobs missles at them . should they not defend themselves ? nb but the iron dome protects them,0,1
279,162,friendly reminder that jews and muslims both believe in the same prophecy and you 're being played like a fiddle .,0,1
303,1536,"maybe , though i have my loving opinions on christ and his rejection of jewish law . i think it has to be this way , but we will face that when he returns . for now we all have a political shitstorm to deal with .",0,1
362,1882,maybe do n't fire rockets at israel,0,1
422,1307,"because israelis are foreign invaders who kicked out the native population ( palestinians ) all those arab countries consider palestine and palestinians ( also arab ) their brothers and sisters and thought that the forced eviction of , palestinians just to create a country for a people from foreign countries is retarded and it very much upset them.fucking poo faggot , you 're people are literally slaves in the gulf countries you know that right . god damn i hate indians . israelis more but indians a close second .",0,1
436,1273,"if you choose to side with the muslims because of your hate for israel , then you are a race traitor that has fallen for propaganda that aims to take advantage of your emotionally guided thinking .",0,1
546,351,"it 's a known fact that there were a few individual jews that hitler liked . his family doctor , and his commanding officer from wwi among them .",0,1
549,979,"i really ca n't understand the hatred of jews here , all the ones that mattered and gained any degree of name recognition seem like absolute stand-up chads",0,1
574,2233,jews are israelites .,0,1
575,415,being american means supporting israel . literally all the values of americans match with israelis while we have nothing in common with palestinians . fucking biden . letting our ally burn . this would n't have happened under trump who correctly understood the value of israel and the chosen people .,0,1
580,283,"genesis : i will bless those who bless you , and whoever curses you i will curse ; and all peoples on earth will be blessed through you . `` yahweh is speaking to the hebrews here.so , this is simple . either the jews are isreal and hebrews or they are not .",0,1
